test,cycles,repeats,warmup,threads,msgBytes,console,nonBlocking,minLevel,wallMedian,wallP10,wallP90,wallP99,wallP999,wallMin,wallMax,wallMean,wallStddev,wallCV,callsPerSecond,stable,cvThreshold,timestamp,gitHash,hostname,platform
GperfProfiler.JoinV0,47,10,1,1,64,0,0,INFO,937.245,936.802,937.606,937.693,937.701,936.745,937.702,937.162,0.316328,0.000337538,1066.96,1,0.1,2026-09-24T03:31:28Z,unknown,pi4,aarch64
GperfProfiler.JoinV1,2446,10,1,1,64,0,0,INFO,21.0174,20.4816,21.0633,21.0759,21.0771,20.1836,21.0773,20.8846,0.280958,0.0134529,47579.7,1,0.1,2026-09-24T03:31:28Z,unknown,pi4,aarch64
