test,cycles,repeats,warmup,threads,msgBytes,console,nonBlocking,minLevel,wallMedian,wallP10,wallP90,wallP99,wallP999,wallMin,wallMax,wallMean,wallStddev,wallCV,callsPerSecond,stable,cvThreshold,timestamp,gitHash,hostname,platform
BasicWorkflow.JoinV0,48,10,1,1,64,0,0,INFO,1014.54,1014.28,1016.44,1020.04,1020.4,1014.19,1020.44,1015.38,1.78286,0.00175585,985.667,1,0.1,2026-09-20T19:21:33Z,unknown,pi4,aarch64
BasicWorkflow.JoinV1,2406,10,1,1,64,0,0,INFO,20.9416,20.1436,21.1975,21.2012,21.2015,20.0669,21.2016,20.774,0.462973,0.0222862,47751.8,1,0.1,2026-09-20T19:21:34Z,unknown,pi4,aarch64
