test,cycles,repeats,warmup,threads,msgBytes,console,nonBlocking,minLevel,wallMedian,wallP10,wallP90,wallP99,wallP999,wallMin,wallMax,wallMean,wallStddev,wallCV,callsPerSecond,stable,cvThreshold,timestamp,gitHash,hostname,platform
Massif.JoinV0,1,10,1,1,64,0,0,INFO,400400,396436,407109,410336,410659,389862,410695,400764,5376,0.0134144,2.4975,1,0.1,2026-09-24T01:45:22Z,unknown,pi4,aarch64
Massif.JoinV1,105,10,1,1,64,0,0,INFO,474.743,464.086,484.931,485.302,485.339,462.714,485.343,474.588,9.27397,0.0195411,2106.4,1,0.1,2026-09-24T01:45:22Z,unknown,pi4,aarch64
