test,cycles,repeats,warmup,threads,msgBytes,console,nonBlocking,minLevel,wallMedian,wallP10,wallP90,wallP99,wallP999,wallMin,wallMax,wallMean,wallStddev,wallCV,callsPerSecond,stable,cvThreshold,timestamp,gitHash,hostname,platform
Heaptrack.JoinV0,52,10,1,1,64,0,0,INFO,947.471,946.381,948.215,949.181,949.278,946,949.288,947.504,0.863751,0.000911606,1055.44,1,0.1,2026-09-24T01:47:41Z,unknown,pi4,aarch64
Heaptrack.JoinV1,2490,10,1,1,64,0,0,INFO,21.011,20.0433,21.0716,21.0726,21.0727,20.0281,21.0727,20.7036,0.440862,0.021294,47594,1,0.1,2026-09-24T01:47:41Z,unknown,pi4,aarch64
