test,cycles,repeats,warmup,threads,msgBytes,console,nonBlocking,minLevel,wallMedian,wallP10,wallP90,wallP99,wallP999,wallMin,wallMax,wallMean,wallStddev,wallCV,callsPerSecond,stable,cvThreshold,timestamp,gitHash,hostname,platform,gpuModel,computeCapability,kernelTimeUs,transferTimeUs,h2dBytes,d2hBytes,speedupVsCpu,memBandwidthGBs,occupancy,smClockMHz,throttling,powerDrawW,powerLimitW,temperatureC,temperatureDeltaC,cuptiKernelLaunches,cuptiRegistersMedian,cuptiRegistersMax,cuptiStaticSmemBytes,cuptiDynamicSmemBytes,deviceId,deviceCount,multiGpuEfficiency,p2pBandwidthGBs,umPageFaults,umH2DMigrations,umD2HMigrations,umMigrationTimeUs,umThrashing
GpuBasicWorkflow.CpuBaseline,10000,10,1,1,64,0,0,INFO,186.248,186.061,186.417,186.444,186.447,185.913,186.447,186.248,0.159153,0.000854521,5369.18,1,0.1,2026-09-23T00:52:38Z,unknown,kalex,aarch64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GpuBasicWorkflow.GpuWithTransfers,10000,10,1,1,64,0,0,INFO,155.93,152.809,164.007,183.7,185.669,145.601,185.888,158.425,9.94957,0.0628031,6413.14,1,0.1,2026-09-23T00:52:40Z,unknown,kalex,aarch64,NVIDIA Thor,11.0,20.138642,136.160001,8388608,4194304,1.194436,92.412690,1.000000,0,0,,,,,100000,16,16,0,0,,1,,,,,,,
GpuBasicWorkflow.GpuKernelOnly,10000,10,1,1,64,0,0,INFO,20.2768,20.2662,20.3043,20.3175,20.3188,20.2624,20.3189,20.2836,0.0174023,0.000857951,49317.3,1,0.1,2026-09-23T00:52:42Z,unknown,kalex,aarch64,NVIDIA Thor,11.0,20.276845,0.000000,0,0,9.185268,0.000000,1.000000,0,0,,,,,100000,16,16,0,0,,1,,,,,,,
